152900,阿拉善盟,晴,23,33
210300,鞍山,阴,18,24
340800,安庆,晴,23,33
410500,安阳,晴,21,34
513200,阿坝藏族羌族自治州,阵雨,7,19
520400,安顺,多云,16,25
542500,阿里,多云,2,19
610900,安康,多云,20,37
652900,阿克苏,阴,19,35
654300,阿勒泰,多云,17,29
659002,阿拉尔,晴,17,36
820000,澳门,阴,24,28
110000,北京,多云,18,27
130600,保定,多云,19,29
150200,包头,晴,16,32
150800,巴彦淖尔,晴,18,35
210500,本溪,阵雨,14,23
220600,白山,小雨,11,23
220800,白城,多云,16,26
340300,蚌埠,多云,24,35
152900,阿拉善盟,晴,23,33
210300,鞍山,小雨,18,24
340800,安庆,晴,23,33
410500,安阳,晴,21,34
513200,阿坝藏族羌族自治州,阵雨,5,19
520400,安顺,小雨,16,25
542500,阿里,多云,2,19
610900,安康,多云,20,37
652900,阿克苏,阴,20,35
